code,Country,Institution,Website/Source,Phone number,Opening hours,Email,Facebook,Twitter,Fax
AT,Austria,Federal Ministry of Justice,https://www.justiz.gv.at/web2013/service_navigation/kontakt~8ab4ac8322985dd501229ce61d7600d5.de.html,0800 99 99 99,08:00-16:00,minister.justiz@bmj.gv.at,,,-//NA//-
BE,Belgium,Federal Public Service Justice,https://justice.belgium.be/fr/contact/contact_de_premiere_ligne/ministre,02 542 80 11,?,info@just.fgov.be,,,02 542 80 00
BG,Bulgaria,Ministry of Justice,http://www.justice.government.bg/11/,"9237 446  ""European affairs""",?,-//NA//-,,,-//NA//-
HR,Croatia,Ministry of Justice,https://pravosudje.gov.hr/kontakti-16/16,01 3714 000,?,pitanja@pravosudje.hr,,,-//NA//-
CY,Cyprus,Ministry of Justice and Public Order,http://www.mjpo.gov.cy/mjpo/mjpo.nsf/contact_en/contact_en?OpenDocument,(+357) 22805951,?,registry@mjpo.gov.cy,,,(+357) 22518356
CZ,Czech Republic,Ministry of Justice,http://portal.justice.cz/Justice2/MS/ms.aspx?o=23&j=33,(+420) 221 997 111,?,posta@msp.justice.cz,https://www.facebook.com/ministerstvospravedlnosti,https://twitter.com/SpravedlnostCZ,(+420) 224 919 927
DK,Denmark,Ministry of Justice,http://justitsministeriet.dk/kontakt,(+45) 72 26 84 00,"09:00-16:00 Monday-Thursday, 09:00-15:00 Friday",jm@jm.dk,,,(+45) 33 93 35 10
EE,Estonia,Ministry of Justice,http://www.just.ee/en/contact-information,(+372) 620 8100,?,info@just.ee,,,(+372) 620 8109
FI,Finland,Ministry of Justice,http://oikeusministerio.fi/en/contact-information,(+358) 2951 6001,?,antti.hakkanen@om.fi,,,(+358) 9 1606 7730
FR,France,Ministry of Justice,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_172234,01 44 77 60 60,?(But call before 16:00),Form on website,,,-//NA//-
DE,Germany,Federal Ministry of Justice and Consumer Protection,https://www.bmjv.de/EN/Service/Contact/contact_node.html,(+49) (0) 30 18 580 - 0,?,poststelle@bmjv.bund.de,,,(+49) (0) 30 18 580 - 9525
GR,Greece,"Ministry of Justice, Transparency, and Human Rights",http://www.ministryofjustice.gr/site/el/%CE%91%CE%A1%CE%A7%CE%99%CE%9A%CE%97.aspx,(+30) 210 7767000,8:30-14:30,ypdipimi@otenet.gr,,,(+30) 2107767187
HU,Hungary,Ministry of Justice,http://www.kormany.hu/en/contacts,(+36) 1 795 1000,?,lakossag@im.gov.hu,https://www.facebook.com/kormanyzat,,(+36) 1 795 0359
IE,Ireland,Department of Justice and Equality,http://www.justice.ie/en/JELR/Pages/Contact_Us,(+353) 1 602 8202,?,info@justice.ie,,,(+353) 1 661  5461
IT,Italy,Ministry of Justice,https://www.giustizia.it/giustizia/it/mg_14_10.page;jsessionid=Q0Xmi5C-dkGqshI5XE0Q6xo+,(+39) 97591110586,?,,,,-//NA//-
LV,Latvia,Ministry of Justice,https://www.tm.gov.lv/en/contacts,67036720,?,tm.kanceleja@tm.gov.lv,,,67210823
LT,Lithuania,Ministry of Justice,http://www.tm.lt/,(8 5) 266 29 81,?,rastine@tm.lt,https://www.facebook.com/teisingumas?fref=ts,https://twitter.com/BernatonisJ,(8 5) 262 59 40
LU,Luxembourg,Ministry of Justice,http://www.mj.public.lu/functions/contact/index.php,(+352) 247-84537,?,info@mj.public.lu,,,(+352) 26 68 48 61
MT,Malta,"Ministry of Justice, Culture, and Local Government",https://justice.gov.mt/en/ministry/Pages/Contact-Details.aspx,(+356) 2201 3000 ,?,owen.bonnici@gov.mt,,,-//NA//-
NL,Netherlands,Ministry of Security and Justice,https://www.government.nl/contact,-//NA//-,08:00-20:00(Twitter),Form on website (https://www.government.nl/contact),,https://twitter.com/Rijksoverheid/,-//NA//-
PO,Poland,Ministry of Justice,http://bip.ms.gov.pl/pl/kontakt/,22 52 12 888,?,-//NA//-,,,-//NA//-
PT,Portugal,Ministry of Justice,http://www.portugal.gov.pt/en/ministries/mj/contacts.aspx?rc=84811,(+351) 213 222 300,?,Form on website,,,N/A
RO,Romania,Ministry of Justice,http://www.just.ro/contact/,037 204 1046,?,relatiipublice@just.ro,https://www.facebook.com/ministeruljustitieiromania/,,-//NA//-
SK,Slovakia,Ministry of Justice,http://wwwold.justice.sk/a/wf.aspx,421 2 59353 111,?,-//NA//-,,,-//NA//-
SI,Slovenia,Ministry of Justice,http://www.mp.gov.si/en/,(+386) 1 369 5342,?,gp.mp@gov.si,,,(+386) 1 369 5783
ES,Spain,Ministry of Justice,http://www.mjusticia.gob.es/cs/Satellite/Portal/es/gabinete-comunicacion#seccion_4,91 390 22 47,?,prensa@mjusticia.es,,https://twitter.com/justiciagob,-//NA//-
SE,Sweden,Ministry of Justice and Migration,http://www.government.se/contact-information/,(+46) 8 405 10 00,?,-//NA//-,,,-//NA//-
GB,United Kingdom,"Department for Digital, Media, Culture, and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport,020 7211 6000,?,enquiries@culture.gov.uk,https://www.facebook.com/dcmsgovuk,https://twitter.com/DCMS,-//NA//-
